word,lemma,part_of_speech,cefr_level,category,definition,persian_meaning,example,source,frequency_rank,collocations,shadowing_sentence,common_mistake,correction,notes,approved
grocery,grocery,noun,A2,daily_life_us,A store that sells food.,مواد غذایی,I stopped at the grocery after work.,starter_curated,1,go grocery shopping,I stopped at the grocery after work.,,,,True
lease,lease,noun,B1,daily_life_us,A rental contract for property.,اجاره‌نامه,We signed a one-year lease.,starter_curated,2,sign a lease,We signed a one-year lease.,,,,True
roommate,roommate,noun,A2,daily_life_us,Someone you share housing with.,هم‌اتاقی,My roommate splits the rent.,starter_curated,3,find a roommate,My roommate splits the rent.,,,,True
checkout,checkout,noun,A2,daily_life_us,The place you pay in a store.,صندوق پرداخت,The checkout line was long.,starter_curated,4,at checkout,The checkout line was long.,,,,True
commute,commute,noun,B1,daily_life_us,Travel between home and work.,رفت‌وآمد,My commute takes forty minutes.,starter_curated,5,daily commute,My commute takes forty minutes.,,,,True
utility,utility,noun,B1,daily_life_us,A basic service like electricity.,خدمات عمومی,Utilities are included in rent.,starter_curated,6,pay utilities,Utilities are included in rent.,,,,True
receipt,receipt,noun,A2,daily_life_us,Proof of payment.,رسید,Keep the receipt for returns.,starter_curated,7,get a receipt,Keep the receipt for returns.,,,,True
tip,tip,noun,A2,daily_life_us,Extra money for service.,انعام,A fifteen percent tip is common.,starter_curated,8,leave a tip,A fifteen percent tip is common.,,,,True
subway,subway,noun,A2,daily_life_us,An underground train system.,مترو,Take the subway downtown.,starter_curated,9,ride the subway,Take the subway downtown.,,,,True
landlord,landlord,noun,B1,daily_life_us,A person who rents property.,موجر,Call the landlord about the leak.,starter_curated,10,contact the landlord,Call the landlord about the leak.,,,,True
neighbor,neighbor,noun,A2,daily_life_us,A person living nearby.,همسایه,Our neighbor is very friendly.,starter_curated,11,friendly neighbor,Our neighbor is very friendly.,,,,True
furthermore,furthermore,adverb,B2,academic_writing,In addition; moreover.,علاوه بر این,"Furthermore, the results were consistent.",starter_curated,12,"Furthermore, evidence suggests","Furthermore, the results were consistent.",,,,True
nevertheless,nevertheless,adverb,B2,academic_writing,In spite of that.,با این حال,"Nevertheless, limitations remain.",starter_curated,13,"Nevertheless, the study","Nevertheless, limitations remain.",,,,True
consequently,consequently,adverb,B2,academic_writing,As a result.,در نتیجه,"Consequently, enrollment increased.",starter_curated,14,"Consequently, researchers","Consequently, enrollment increased.",,,,True
moreover,moreover,adverb,B2,academic_writing,Besides; in addition.,علاوه بر آن,"Moreover, costs were reduced.",starter_curated,15,"Moreover, the data","Moreover, costs were reduced.",,,,True
therefore,therefore,adverb,B1,academic_writing,For that reason.,بنابراین,"Therefore, we reject the hypothesis.",starter_curated,16,"Therefore, the author","Therefore, we reject the hypothesis.",,,,True
whereas,whereas,conjunction,B2,academic_writing,In contrast; while.,در حالی که,"Group A improved, whereas Group B did not.",starter_curated,17,whereas previous studies,"Group A improved, whereas Group B did not.",,,,True
hence,hence,adverb,B2,academic_writing,For this reason.,از این رو,"Hence, further study is needed.",starter_curated,18,"Hence, the conclusion","Hence, further study is needed.",,,,True
clarify,clarify,verb,B1,academic_writing,To make something clear.,روشن کردن,Please clarify your main argument.,starter_curated,19,clarify the point,Please clarify your main argument.,,,,True
argue,argue,verb,B1,academic_writing,To give reasons for a view.,استدلال کردن,The author argues that policy failed.,starter_curated,20,argue that,The author argues that policy failed.,,,,True
demonstrate,demonstrate,verb,B1,academic_writing,To show clearly.,نشان دادن,The chart demonstrates a clear trend.,starter_curated,21,demonstrate that,The chart demonstrates a clear trend.,,,,True
illustrate,illustrate,verb,B1,academic_writing,To explain with examples.,مثال زدن,This case illustrates the problem.,starter_curated,22,illustrate the concept,This case illustrates the problem.,,,,True
analyze,analyze,verb,B1,toefl_academic,To examine in detail.,تحلیل کردن,Researchers analyze data before publishing.,starter_curated,23,analyze the data,Researchers analyze data before publishing.,,,,True
hypothesis,hypothesis,noun,B2,toefl_academic,An idea tested by research.,فرضیه,The hypothesis was supported.,starter_curated,24,test a hypothesis,The hypothesis was supported.,,,,True
significant,significant,adjective,B1,toefl_academic,Important or noticeable.,قابل توجه,There was a significant increase.,starter_curated,25,statistically significant,There was a significant increase.,,,,True
correlate,correlate,verb,B2,toefl_academic,To have a mutual relationship.,همبستگی داشتن,Stress correlates with poor sleep.,starter_curated,26,correlate with,Stress correlates with poor sleep.,,,,True
methodology,methodology,noun,B2,toefl_academic,System of methods in study.,متدولوژی,The methodology section explains the design.,starter_curated,27,research methodology,The methodology section explains the design.,,,,True
empirical,empirical,adjective,B2,toefl_academic,Based on observation.,تجربی,Empirical evidence supports the claim.,starter_curated,28,empirical study,Empirical evidence supports the claim.,,,,True
variable,variable,noun,B2,toefl_academic,A factor that can change.,متغیر,Temperature is a key variable.,starter_curated,29,independent variable,Temperature is a key variable.,,,,True
inference,inference,noun,B2,toefl_academic,A conclusion from evidence.,استنتاج,We draw an inference from the data.,starter_curated,30,make an inference,We draw an inference from the data.,,,,True
